"TITLE","AUTHOR","DATE","DESCRIPTION","CONTENT","URL"
"'State reels under drought as water reserves dry up'","'Shoumojit Banerjee'","'2019-05-12T19:00:41Z'","'While situation remains grim in Marathwada, scarcity hits western Maharashtra too; 750 tankers deployed in Pune division'","'As the water situation steadily worsens in the arid Marathwada region, districts in water-abundant western Maharashtra, too, are feeling the lash of the drought.
Rising mercury levels have resulted in the rapid depletion of water stocks in the 22 dams which … [+3488 chars]'","'https://www.thehindu.com/news/national/other-states/state-reels-under-drought-as-water-reserves-dry-up/article27110558.ece'"
"'Polls over, Pune residents making a dash for tourist destinations'","'IE Online'","'2019-05-13T04:53:01Z'","'While Europe has always been a favourite among travellers in India, many in Pune are exploring foreign destinations that offer “visa on arrival” and adventure tourism.'","'A rush of passengers at Pune airport. File
Written by Monika Asthana and Shivangana Chaturvedi
With the Lok Sabha elections in the state over and at least two to three weeks left for school and college to reopen after summer break, vacations are still on th… [+2290 chars]'","'https://indianexpress.com/elections/polls-over-pune-residents-making-a-dash-for-tourist-destinations-5724582/'"
"'Pune University admission 2019: Check exam dates, test pattern, how to apply'","'Education Desk'","'2019-05-12T12:48:28Z'","'Pune University admissions 2019: Entrance exam has become mandatory for admissions to PG courses. Apply at unipune.ac before May 25, 2019.'","'Pune University admission 2019: Entrance test must for all PG courses, apply at unipune.ac.in (File Photo)
Pune University admission 2019: Savitribai Phule Pune University (SPPU) formerly known as Pune University announced to conduct entrance test for admiss… [+3052 chars]'","'https://indianexpress.com/article/education/pune-university-admission-2019-check-exam-dates-test-pattern-how-to-apply-unipune-ac-in-5723902/'"
"'Mumbai: SEC orders fresh polls, runners-up candidates disappointed'","'Laxman Singh'","'2019-05-14T19:37:23Z'","'The seats are in Mumbai, Navi Mumbai, Ulhasnagar, Kolhapur and Pune, and include the three seats where Salagre, Naik and Hundare were set to be corporators.'","'As per the Mumbai Municipal Corporation Act, if any corporator is disqualified then the candidate with the second highest votes can be appointed as a corporator in his place. (File)
Congress Nitin Salagre and Shiv Senas Sandeep Naik and Eknath Hundare, runne… [+2558 chars]'","'https://indianexpress.com/article/cities/mumbai/mumbai-sec-orders-fresh-polls-runners-up-candidates-disappointed-5727909/'"
"'Pune: Regional honeybee rearing to get a boost'","'ANJALI MARAR'","'2019-05-13T04:27:53Z'","'Regional centres are likely to come up in Kashmir, Arunachal Pradesh, Sikkim, Dahanu and Kanyakumari. Names of some more centres have been proposed, but are yet to be finalised, officials said.'","'China holds the top position in global markets with 15 per cent honey exports share, while India ranks seventh and holds an export share of about 4.56 per cent.
To boost production of local honey variants within a specific geographical region in the country,… [+1490 chars]'","'https://indianexpress.com/article/cities/pune/pune-regional-honeybee-rearing-to-get-a-boost-5724546/'"
"'Pune: Presented perfectly in miniature, colours and traditions of India'","'IE Online'","'2019-05-11T05:16:03Z'","'Sathe started making ceramic articles like mugs and showpieces, before specialising in the creation of unique dolls by using his engineering skills.'","'Jayant Sathe
Written by Monika Asthana
They are dancers representing various forms Kathak, Lavani, Bharatanatyam and Manipuri with their dresses draped and hairstyles in place. They are also dolls created by Jayant Sathe, 84, the founder of Creative Hands a… [+2318 chars]'","'https://indianexpress.com/article/cities/pune/presented-perfectly-in-miniature-colours-and-traditions-of-india-5722410/'"
"'Pune: Woman ‘bludgeons daughter to death’ with rock, arrested'","'Express News Service'","'2019-05-14T20:43:10Z'","'According to the police, the woman had a heated argument with her daughter in the morning, during which she hit her with a large rock on the head.'","'(Representational)
A woman allegedly bludgeoned her 19-year-old daughter to death in a fit of rage over constant arguments at their home in Baramati town on Tuesday. The woman was later arrested.
An FIR was registered at Baramati police station. According t… [+1264 chars]'","'https://indianexpress.com/article/cities/pune/pune-woman-bludgeons-daughter-to-death-with-rock-arrested-5727964/'"
"'Alabama cria a lei contra o aborto mais severa dos Estados Unidos'","'null'","'2019-05-15T05:01:00Z'","'Medida proíbe a interrupção da gravidez até em casos de estupro e incesto, e pune médico com até 99 anos de prisão'","'O Senado do Alabamaaprovou nesta terça-feira, 15, a lei contra o aborto mais severa dos Estados Unidos. Nela, a interrupção da gravidez é proibida em qualquer etapa da gestação, com pena de até 99 anos de prisão para o médico responsável pela prática. 
O tex… [+1028 chars]'","'https://internacional.estadao.com.br/noticias/geral,alabama-cria-a-lei-contra-o-aborto-mais-severa-dos-estados-unidos,70002829277'"
"'Pyrotechnic Object Found at Air Force Station, Pune'","'null'","'2019-05-14T12:45:00Z'","'This morning a staff member of Air Force School, Vimannagar, located at Air Force Station Lohegaon Pune, found a suspicious looking object in the school ground, which is adjacent to a civil residential area.'","'This morning a staff member of Air Force School, Vimannagar, located at Air Force Station Lohegaon Pune, found a suspicious looking object in the school ground, which is adjacent to a civil residential area. On receiving the information IAF Security team reac… [+353 chars]'","'http://pib.nic.in/newsite/PrintRelease.aspx?relid=190004'"
"'OnePlus launches OnePlus 7, 7 Pro from ₹ 32,999 onwards'","'PTI'","'2019-05-14T18:06:10Z'","'The Chinese smartphone maker will open an experience store in Pune, and at Hyderabad which will be the biggest OnePlus store in the world'","'Premium smartphone maker OnePlus on Tuesday said it is aggressively expanding its retail presence in India and will set up its largest experience centre in Hyderabad.
The Chinese company, which competes with the likes of Apple and Samsung in the premium smar… [+2415 chars]'","'https://www.thehindu.com/sci-tech/technology/gadgets/oneplus-launches-oneplus-7-7-pro-from-32999-onwards/article27130779.ece'"
"'Pune: Warmer days ahead, says IMD as day temperature touches 40-degree mark'","'Express News Service'","'2019-05-13T02:33:43Z'","'Vidarbha, meanwhile, continued to experience heatwave conditions, with Brahmapuri recording 45.6 degrees Celsius - the hottest city in Maharashtra.'","'Commuters cover their faces with scarves to save themselves from the blistering heat in Pune. The maximum temperature rose by 2.4 degrees on Sunday. (Express photo)
After a fortnight of relief, Pune and its neighbouring areas on Sunday recorded a sudden spik… [+1010 chars]'","'https://indianexpress.com/article/cities/pune/pune-warmer-days-ahead-says-imd-as-day-temperature-touches-40-degree-mark-5724441/'"
"'Maharashtra reels under drought as reservoirs dry up'","'Shoumojit Banerjee'","'2019-05-12T16:40:24Z'","'Despite assurances from the officials, residents of the area complain of water shortages'","'Even as the water situation steadily worsens in the arid Marathwada region, districts in the water-abundant western Maharashtra, too, are feeling the impact of the drought stalking the State.
Soaring mercury levels have resulted in the rapid depletion of wat… [+4008 chars]'","'https://www.thehindu.com/news/national/other-states/maharashtra-reels-under-drought-as-reservoirs-dry-up/article27109839.ece'"
